SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2
10003026,-37.81517,144.97476,Spring and Flinders ucell Optus North West corner Spring and Flinders St MELBOURNE,VIC,2,,Within 10 meters,,KX3P
10003027,-37.81524,144.95256,Optus Minicell - Lon_Spencer Corner Spencer and Lonsdale St MELBOURNE,VIC,2,,Within 10 meters,,KX3P
10003238,-37.81239,144.9712,136 Exhibition St MELBOURNE,VIC,2,,Within 10 meters,,KX3P
10004167,-37.816790000000005,144.96918,Federation Square North -V 164A Flinders Street MELBOURNE,VIC,2,,Within 10 meters,,KX3P
10004576,-37.81808,144.95692,KING ST (3144 REPLACEMENT) -V 530 Collins Street MELBOURNE,VIC,2,,Within 10 meters,,KX3P
101373,-37.811269,144.957909,Empire Apartments 402-408 La Trobe Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
101381,-37.809081,144.96893,CMTS Site 287-293 Exhibition St MELBOURNE,VIC,2,3000.0,Within 10 meters,28.0,KX3P
101385,-37.815461,144.962656,Benjamin House 358-360 Little Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
101636,-37.81285,144.955026,CGU Bldg 485 La Trobe Street MELBOURNE,VIC,2,3000.0,Unknown,,KX3P
11571,-37.816356,144.962313,360 Collins St Collins Wales Building MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
11579,-37.818071,144.957211,Stock Exchange Bldg 530 Collins Street MELBOURNE,VIC,2,3000.0,Within 10 meters,10.0,KX3P
11581,-37.818202,144.954367,625 Lt Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
11590,-37.814225,144.971971,ANZ Bank Tower 55 Collins Street MELBOURNE,VIC,2,3000.0,Within 10 meters,15.0,KX3P
11591,-37.815975,144.955905,Bourke Place 600 Bourke Street MELBOURNE,VIC,2,3000.0,Within 10 meters,14.0,KX3P
11593,-37.815493,144.95671399999998,Marland House 570 Bourke Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
11599,-37.81852,144.95714099999998,Rialto Towers 525 Collins Street MELBOURNE,VIC,2,3000.0,Within 10 meters,9.0,KX3P
11600,-37.817303,144.962344,367 Collins Street Optus Centre MELBOURNE,VIC,2,3000.0,Within 10 meters,8.0,KX3P
11601,-37.818162,144.959934,Optus Site National Mutual Building 447 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
130005,-37.813381,144.95961200000002,CMTS Site 235 Queen St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
130439,-37.812084000000006,144.967997,CMTS Site 180 Russell St MELBOURNE,VIC,2,3000.0,Within 10 meters,18.0,KX3P
134245,-37.818494,144.957705,Optus Site Rialto 525 Collins Street MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134317,-37.812121999999995,144.97071,Optus Site CBD123 Cnr Bourkr & Exhibition Streets MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134329,-37.811625,144.96491899999998,Optus Site Lonsdale/Swanston 253 Lonsdale St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134360,-37.814263000000004,144.972105,Optus Site 101 Collins St (Pac Dun) 101 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,15.0,KX3P
134386,-37.815549,144.966686,Optus Site Collins & Swanston Cnr Collins & Swanston Sts MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134403,-37.818166,144.964831,Optus Site Flinders/Elizabeth 1 Elizabeth St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
134449,-37.817384000000004,144.959217,Optus Site Melbourne City West 454 Collins St MELBOURNE,VIC,2,3000.0,Within 10 meters,,KX3P
