IP,Latitude,Longitude,PostCode,City,State,Country
1.120.0.1,-30.5083,151.6712,2350.0,Armidale,NSW,AU
1.120.2.1,-37.8833,145.3333,3786.0,Ferny Creek,VIC,AU
1.120.8.1,-32.243,148.6048,2830.0,Dubbo,NSW,AU
1.120.32.1,-37.8141,144.963,,Melbourne,VIC,AU
1.120.96.1,-27.4891,153.0188,4101.0,Brisbane,QLD,AU
1.120.97.1,-27.4482,153.0134,4059.0,Brisbane,QLD,AU
1.120.98.1,-27.4935,153.0763,4152.0,Camp Hill,QLD,AU
1.120.99.1,-27.5975,152.7475,4305.0,Brassall,QLD,AU
1.120.100.1,-27.5202,153.0278,4102.0,Brisbane,QLD,AU
1.120.101.1,-26.8067,152.961,4550.0,Mount Mellum,QLD,AU
1.120.102.1,-27.5976,153.077,4113.0,Runcorn,QLD,AU
1.120.103.1,-27.8833,153.3,4209.0,Upper Coomera,QLD,AU
1.120.105.1,-27.6498,153.1775,4128.0,Shailer Park,QLD,AU
1.120.106.1,-26.5283,153.0881,4573.0,Coolum Beach,QLD,AU
1.120.107.1,-27.4732,153.0215,4000.0,Brisbane,QLD,AU
1.120.108.1,-27.1088,152.9491,4506.0,Morayfield,QLD,AU
1.120.110.1,-27.4932,153.0583,4151.0,Coorparoo,QLD,AU
1.120.111.1,-27.5575,153.2648,4164.0,Thornlands,QLD,AU
1.120.112.1,-31.0905,150.929,2340.0,Tamworth,NSW,AU
1.120.113.1,-32.891999999999996,151.7053,2308.0,Callaghan,NSW,AU
1.120.114.1,-32.907,151.6053,2285.0,Cameron Park,NSW,AU
1.120.128.1,-27.4104,153.0111,4053.0,Stafford,QLD,AU
1.120.129.1,-27.4155,152.9766,4053.0,Brisbane,QLD,AU
1.120.130.1,-27.7,153.2,4129.0,Loganholme,QLD,AU
1.120.131.1,-27.8833,153.1333,4270.0,Tamborine Mountain,QLD,AU
1.120.133.1,-27.4432,153.0302,4006.0,Brisbane,QLD,AU
1.120.136.1,-27.6833,153.25,4130.0,Carbrook,QLD,AU
1.120.138.1,-28.0833,153.3667,4213.0,Upper Mudgeeraba,QLD,AU
1.120.140.1,-27.4704,153.0031,4064.0,Brisbane,QLD,AU
1.120.141.1,-26.730999999999998,152.9977,4554.0,Ilkley,QLD,AU
1.120.142.1,-27.5123,153.0325,4103.0,Brisbane,QLD,AU
1.120.144.1,-27.5833,153.3117,4165.0,Victoria Point,QLD,AU
1.120.147.1,-28.1545,153.3092,4213.0,Bonogin,QLD,AU
1.120.151.1,-27.5,152.9,4069.0,Brisbane,QLD,AU
1.120.154.1,-28.0215,153.3664,4211.0,Carrara,QLD,AU
1.120.155.1,-27.4189,153.0582,4011.0,Clayfield,QLD,AU
1.120.156.1,-19.3366,146.7836,4813.0,Townsville,QLD,AU
